,DummyClassifier,LogisticRegression,RandomForestClassifier
fit_time,0.043786144256591795,2.7913959980010987,5.926299285888672
score_time,0.005601906776428222,0.006334686279296875,0.125921368598938
test_accuracy,0.6360562304180811,0.8099775986697766,0.8553437949854892
train_accuracy,0.6335702648478386,0.8109034414879253,0.9999317501218549
test_f1,0.24043671142147188,0.6819067021637886,0.6680953452845961
train_f1,0.23747364614662003,0.6838376794041394,0.9998579215935284
