,precision,recall,f1-score,support
0,0.8802402862985685,0.9304242096730614,0.9046368054643373,7402.0
1,0.7352185089974294,0.6041402619349387,0.663265306122449,2367.0
accuracy,0.8513665677141979,0.8513665677141979,0.8513665677141979,0.8513665677141979
macro avg,0.8077293976479989,0.7672822358040001,0.7839510557933932,9769.0
weighted avg,0.8451019357128589,0.8513665677141979,0.846153200290599,9769.0
